No,Name Cafe,Place
1,774,Jogja
2,28 Coffee Taman Siswa,Jogja
3,2nd Coffee and Space,Sleman
4,7 Stones,
5,Bursa Coffee,
6,Clip n Barrel,
7,Coffee Tea Cup,
8,CW Coffee,
9,Djoen Bakery Coffee & Resto,
10,Ekstens,Bantul
11,Enyui Coffee Palagan,Sleman
12,Estuary Cafe,
13,Fifth Note Palagan,
14,Goela Djawa,Pictniq
15,Goffee Doughnuts & Coffee,
16,Hands Bland,
17,Hidjau Coffee,Jl KH Ahmad Dahlan
18,Hitam Manis,Jogja
19,Hope Cafe & Eatery,
20,Infini Space,Sleman
21,Internet Learning Cafe,
22,Jempolan Coffee,Sleman
23,Kaktus Coffee,Sleman
24,Kalola Space,Seturan
25,Kedai Kopi Tugas Negara,
26,Kedai lamboc,
27,Kla Arabica,Sleman
28,Koat Kopi,
29,Kolektif Coworking Space,Sleman
30,Little Ant Coffee,Jogja
31,Macho Kopi,Wirobrajan
32,Narawita,
33,Nordu Coffee,
34,Nyore Coffee & Space,Jogja
35,Restless Coffee,
36,Reter Coffee ( Resonance and The Eternity ),Sleman
37,Riss Coffee,
38,Ruminate,Sleman
39,Saka Coffee Roasers,Tegalrejo
40,Sasmaka,Jogja
41,Semuda Kopi Monjali,
42,Senja,Sleman
43,Siruki Coffee,
44,Smedi Coliving & Coffee,
45,Sobo Kitchen & Space,Bantul
46,Tama,Bantul
47,Tamanan Cafe,
48,Thon's,Sleman
49,Toleransi Kopi Signature,Sleman
50,Torte Coffee,Demangan
51,Warkop Naik Kelas,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
