No,Title,Address,Phone,Rating,Reviews,Type,Hours
1,TUGU LOR,,,,,Coffee shop,
2,A&M Co,Parangtritis,,,,Coffee shop,
3,A&M Co,Jogja,,,,Coffee shop,
4,Arkana Roastery,Bantul,,,,Coffee shop,
5,Bhumi Durian,,,,,Coffee shop,
31,Blue Heron,"Jl. Asem Gede No.23, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",82228888220,4.8,525,Coffee shop,"{Monday, 11.00 am–4.00 pm; Tuesday, 6.30 am–10.00 pm; Wednesday, 6.30 am–9.00 pm; Thursday, 6.30 am–10.00 pm; Friday, 6.30 am–9.00 pm; Saturday, 6.30 am–10.00 pm; Sunday, 6.30 am–10.00 pm}"
7,Boetani,,,,,Coffee shop,
8,Bonbale,,,,,Coffee shop,
9,Botanica by Karplanter,,,,,Coffee shop,
10,Boukenhof Restaurant,,,,,Coffee shop,
11,Brooklyn,Sleman,,,,Coffee shop,
12,Bulak Senthe,Sleman,,,,Coffee shop,
13,Camp Coffee & Nature,,,,,Coffee shop,
37,Canie Coffee & Space,"Jl. Pandega Marta No.99, RT.03 RW01/RW.Kalurahan, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",81138239900,4.5,303,Coffee shop,"{Monday, 9.00 am–12.30 am; Tuesday, 9.00 am–12.30 am; Wednesday, 9.00 am–12.30 am; Thursday, 9.00 am–12.30 am; Friday, 9.00 am–12.30 am; Saturday, 9.00 am–12.30 am; Sunday, 9.00 am–12.30 am}"
15,Champa,Bantul,,,,Coffee shop,
42,Coconut Coffee & Eatery Palagan,"Jl. Pandhawa, Tegal Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",81770455890,4.8,924,Coffee shop,"{Monday, 8.00 am–10.00 pm; Tuesday, 8.00 am–10.00 pm; Wednesday, 8.00 am–10.00 pm; Thursday, 8.00 am–10.00 pm; Friday, 8.00 am–10.00 pm; Saturday, 8.00 am–10.00 pm; Sunday, 8.00 am–10.00 pm}"
63,Demakijo’s | Coffee & Eatery,"Cokrowijayan, Banyuraden, Gamping, Sleman Regency, Special Region of Yogyakarta 55293",81977772025,5,613,Coffee shop,"{Monday, 10.00 am–12.00 am; Tuesday, 10.00 am–12.00 am; Wednesday, 10.00 am–12.00 am; Thursday, 10.00 am–12.00 am; Friday, 10.00 am–12.00 am; Saturday, 10.00 am–12.00 am; Sunday, 10.00 am–12.00 am}"
18,d'Omah Lotus Café,,,,,Coffee shop,
19,Dorpie Coffie,Bantul,,,,Coffee shop,
20,Ekstens Coffee & Space,,,,,Coffee shop,
