No,Title,Address,Phone,Rating,Reviews,Type,Hours
81,Epic Coffee & Epilog Furniture,"Jl. Palagan Tentara Pelajar No.29, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",2744530704,4.5,"4,245",Coffee shop,Open ⋅ Closes 11 PM
82,ESCO RESTAURANT & NO.27 COFFEE,"Jl. Pringgodani Jl. Demangan Baru No.14, Mrican, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",,4.6,"1,537",Coffee shop,"{Monday, 8.00 am–11.30 pm; Tuesday, 8.00 am–11.30 pm; Wednesday, 8.00 am–11.30 pm; Thursday, 8.00 am–11.30 pm; Friday, 8.00 am–11.30 pm; Saturday, 8.00 am–11.30 pm; Sunday, 8.00 am–11.30 pm}"
85,Estuary Café,"Gang Code 3, Karangjati Wetan, No.170 C, Monjali St, RT.06/RW.45, Gemawang, Sinduadi, Mlati, Sleman Regency, Special Region of Yogyakarta 55283",(0274)5014118,4.6,"3,504",Coffee shop,"{Monday, 9.00 am–11.00 pm; Tuesday, 9.00 am–11.00 pm; Wednesday, 9.00 am–11.00 pm; Thursday, 9.00 am–11.00 pm; Friday, 9.00 am–11.00 pm; Saturday, 9.00 am–11.00 pm; Sunday, 9.00 am–11.00 pm}"
100,Gemati Cafe and Space Yogyakarta,"Jl. Sidomukti, Tiyosan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",,4.6,631,Coffee shop,Open ⋅ Closes 12 AM
26,Haia Space,,,,,Coffee shop,
27,Inspira Roasters,,,,,Coffee shop,
28,Resto dan Cafe Jogja Isvara Kitchen & Coffee,"Jl. Sultan Agung No.60, Wirogunan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55244",87733445562,4.5,"1,330",Coffee shop,"{Monday, 11.00 am–12.00 am; Tuesday, 11.00 am–12.00 am; Wednesday, 11.00 am–12.00 am; Thursday, 11.00 am–12.00 am; Friday, 11.00 am–12.00 am; Saturday, 11.00 am–12.00 am; Sunday, 10.00 am–11.00 pm}"
111,Ivy Coffee,"Jl. Sidomukti, Tiyosan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",,4.5,"2,247",Coffee shop,"{Monday, 7.00 am–1.00 am; Tuesday, 7.00 am–1.00 am; Wednesday, 7.00 am–1.00 am; Thursday, 7.00 am–1.00 am; Friday, 7.00 am–1.00 am; Saturday, 7.00 am–1.00 am; Sunday, 7.00 am–1.00 am}"
113,Kaktus Coffee Place,"Jl. Gondang Raya No.4-5, RT.08/RW.63, Kentungan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283",82226903743,4.7,"3,697",Coffee shop,"{Monday, 9.00 am–11.00 pm; Tuesday, 9.00 am–11.00 pm; Wednesday, 9.00 am–11.00 pm; Thursday, 9.00 am–11.00 pm; Friday, 9.00 am–11.00 pm; Saturday, 9.00 am–11.00 pm; Sunday, 9.00 am–11.00 pm}"
122,KLA ARABICA,"Jl. Waringinsari I No.77, Ngropoh, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",,4.9,136,Coffee shop,"{Monday, 2.00–10.00 pm; Tuesday, 2.00–10.00 pm; Wednesday, 2.00–10.00 pm; Thursday, 2.00–10.00 pm; Friday, 2.00–10.00 pm; Saturday, 2.00–10.00 pm; Sunday, 2.00–10.00 pm}"
Kopi Legi,Kopi Legi,"Jl. Kenanga No.8, Sambelegi Kidul, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",85290383528,4.7,"2,896",Coffee shop,"{Monday, 9.00 am–10.00 pm; Tuesday, 9.00 am–10.00 pm; Wednesday, 9.00 am–10.00 pm; Thursday, 9.00 am–10.00 pm; Friday, 9.00 am–10.00 pm; Saturday, 9.00 am–10.00 pm; Sunday, 9.00 am–10.00 pm}"
35,Kopi Padasan,"Padasan, Pakembinangun, Pakem, Sleman Regency, Special Region of Yogyakarta 55582",81225485181,4.8,"2,578",Coffee shop,"{Monday, 11.00 am–8.00 pm; Tuesday, 11.00 am–8.00 pm; Wednesday, 11.00 am–8.00 pm; Thursday, 11.00 am–8.00 pm; Friday, 11.00 am–8.00 pm; Saturday, 7.00 am–9.00 pm; Sunday, 7.00 am–9.00 pm}"
37,Kopi Tempuran (TEMPURAN SPACE),"Jl. Plataran No.9, Sembungan, Bangunjiwo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55184",,4.5,289,Coffee shop,"{Monday, 9.00 am–6.00 pm; Tuesday, 9.00 am–6.00 pm; Wednesday, 9.00 am–6.00 pm; Thursday, 9.00 am–6.00 pm; Friday, 9.00 am–6.00 pm; Saturday, 9.00 am–6.00 pm; Sunday, 9.00 am–6.00 pm}"
38,Kopi Wet Pule,"Jl. Himalaya No.212, Nusupan, Trihanggo, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55291",8192251181,4.8,37,Coffee shop,"{Monday, 7.30 am–12.30 am; Tuesday, 7.30 am–12.30 am; Wednesday, 7.30 am–12.30 am; Thursday, 7.30 am–12.30 am; Friday, 7.30 am–12.30 am; Saturday, 7.30 am–12.30 am; Sunday, 7.30 am–12.30 am}"
40,K-Space Prambanan,"6FXQ+343, Jl. Taman Prambanan Kulon, Klurak, Bokoharjo, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",,4.7,305,Coffee shop,"{Monday, 8.00 am–11.00 pm; Tuesday, 8.00 am–11.00 pm; Wednesday, 8.00 am–11.00 pm; Thursday, 8.00 am–11.00 pm; Friday, 8.00 am–11.00 pm; Saturday, 8.00 am–11.00 pm; Sunday, 8.00 am–11.00 pm}"
42,Lamanide Space & Cafe,"Jl. Bangau No.15, Sedan, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",81385513303,4.8,375,Coffee shop,"{Monday, 8.00 am–11.00 pm; Tuesday, 8.00 am–11.00 pm; Wednesday, 8.00 am–11.00 pm; Thursday, 8.00 am–11.00 pm; Friday, 8.00 am–11.00 pm; Saturday, 8.00 am–11.00 pm; Sunday, 8.00 am–11.00 pm}"
44,Lestari Corner Coffee,"Jl. Nangka, Krodan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",,4.7,"2,326",Coffee shop,Open 24 Hours
47,Jagongan Coffee Roasters,"Jl. Jogoripon, Jaranan, Panggungharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta",0895-3355-02262,4.8,382,Coffee shop,"{Monday, 9.00 am–11.00 pm; Tuesday, 9.00 am–11.00 pm; Wednesday, 9.00 am–11.00 pm; Thursday, 9.00 am–11.00 pm; Friday, 9.00 am–11.00 pm; Saturday, 9.00 am–11.00 pm; Sunday, 9.00 am–11.00 pm}"
89,Metropole Coffee,"Jl. Nitikan Baru No.18, Sorosutan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55162",,4.5,377,Coffee shop,"{Monday, 12.00–10.00 pm; Tuesday, 12.00–10.00 pm; Wednesday, 12.00–10.00 pm; Thursday, 12.00–10.00 pm; Friday, 12.00–10.00 pm; Saturday, 12.00–10.00 pm; Sunday, 12.00–10.00 pm}"
51,Moose Coffee & Space,"Jl. Godegan Gg. Merpati No.RT 10, Brajan, Tamantirto, Kec. Kasihan, Yogyakarta, Daerah Istimewa Yogyakarta 55181",,4.9,218,Coffee shop,"{Monday, 9.00 am–12.00 am; Tuesday, 9.00 am–12.00 am; Wednesday, 9.00 am–12.00 am; Thursday, 9.00 am–12.00 am; Friday, 9.00 am–12.00 am; Saturday, 9.00 am–12.00 am; Sunday, 9.00 am–12.00 am}"
178,Narawita Sanctuary Space,"Jl. Anggrek, Blotan, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584",,4.5,437,Coffee shop,"{Monday, 10.00 am–10.00 pm; Tuesday, 10.00 am–10.00 pm; Wednesday, 10.00 am–10.00 pm; Thursday, 10.00 am–10.00 pm; Friday, 10.00 am–10.00 pm; Saturday, 10.00 am–10.00 pm; Sunday, 10.00 am–10.00 pm}"
96,Nest Coffee & Donuts,"Jl. Ringroad Selatan, Giwangan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta",81391649697,4.6,"1,912",Coffee shop,"{Monday, 9.00 am–10.00 pm; Tuesday, 9.00 am–10.00 pm; Wednesday, 9.00 am–10.00 pm; Thursday, 9.00 am–10.00 pm; Friday, 9.00 am–10.00 pm; Saturday, 9.00 am–10.00 pm; Sunday, 9.00 am–10.00 pm}"
54,Omah Dhuwur Dining & Coffee,"Jl. Mondorakan No.252, Bodon, Jagalan, Kec. Kotagede, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55192",(0274)374952,4.5,"2,167",Coffee shop,"{Monday, 10.00 am–10.00 pm; Tuesday, 10.00 am–10.00 pm; Wednesday, 10.00 am–10.00 pm; Thursday, 10.00 am–10.00 pm; Friday, 10.00 am–10.00 pm; Saturday, 10.00 am–10.00 pm; Sunday, 10.00 am–10.00 pm}"
55,Omah Kopi Cokrowijayan,"688P+W8H, RT.04/RW.06, Cokrowijayan, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293",81944337778,4.7,"1,893",Coffee shop,"{Monday, 9.00 am–10.00 pm; Tuesday, 9.00 am–10.00 pm; Wednesday, 9.00 am–10.00 pm; Thursday, 9.00 am–10.00 pm; Friday, 9.00 am–10.00 pm; Saturday, 9.00 am–11.00 pm; Sunday, 9.00 am–11.00 pm}"
56,Omah Minggir,"Ngaranan, Sendangrejo, Minggir, Sleman Regency, Special Region of Yogyakarta 55562",81226423337,4.7,475,Coffee shop,"{Monday, 9.00 am–8.00 pm; Tuesday, Closed; Wednesday, 9.00 am–8.00 pm; Thursday, 9.00 am–8.00 pm; Friday, 9.00 am–8.00 pm; Saturday, 9.00 am–8.00 pm; Sunday, 9.00 am–8.00 pm}"
191,OPPIO,"Jl. Nglengkong Besi No.11, Area Sawah, Sukoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",81239999082,4.3,834,Coffee shop,"{Monday, 2.00–10.00 pm; Tuesday, Closed; Wednesday, 2.00–10.00 pm; Thursday, 2.00–10.00 pm; Friday, 2.00–10.00 pm; Saturday, 2.00–10.00 pm; Sunday, 2.00–10.00 pm}"
107,Peachy Coffee & Work Space,"Jl. Taman Siswa No.108 C, Wirogunan, Kec. Mergangsan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55151",81322553818,4.6,"1,354",Coffee shop,"{Monday, 9.00 am–11.00 pm; Tuesday, 9.00 am–11.00 pm; Wednesday, 9.00 am–11.00 pm; Thursday, 9.00 am–11.00 pm; Friday, 9.00 am–11.00 pm; Saturday, 9.00 am–11.00 pm; Sunday, 9.00 am–11.00 pm}"
60,Rumah Rasa,"CC5H+46M, Kaliurang, Hargobinangun, Kec. Pakem, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55582",81229118859,4.6,399,Coffee shop,"{Monday, Closed; Tuesday, 3.00–7.30 pm; Wednesday, 9.30 am–7.30 pm; Thursday, 9.30 am–7.30 pm; Friday, 9.30 am–7.30 pm; Saturday, 9.30 am–7.30 pm; Sunday, Closed}"
128,Secret Garden Coffee and Chocolate,"59X3+RHV, Jl. Prof. DR. Ki Amri Yahya No.2, Pakuncen, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55253",,4.4,"4,092",Coffee shop,"{Monday, 3.00–11.00 pm; Tuesday, 3.00–11.00 pm; Wednesday, 3.00–11.00 pm; Thursday, 3.00–11.00 pm; Friday, 3.00–11.00 pm; Saturday, 3.00–11.00 pm; Sunday, 3.00–11.00 pm}"
65,Seika Greenery & Eatery,"Jl. Soragan, Cungkuk, Ngestiharjo, Kec. Kasihan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55182",85176763252,4.8,314,Coffee shop,"{Monday, 10.00 am–10.00 pm; Tuesday, 10.00 am–10.00 pm; Wednesday, 10.00 am–10.00 pm; Thursday, 10.00 am–10.00 pm; Friday, 10.00 am–10.00 pm; Saturday, 10.00 am–11.00 pm; Sunday, 10.00 am–11.00 pm}"
66,Shelter Sambat,"Jl. Tentara Pelajar, Area Sawah, Trirenggo, Kec. Bantul, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55714",82220733284,4.7,322,Coffee shop,"{Monday, 8.00 am–11.00 pm; Tuesday, 8.00 am–11.00 pm; Wednesday, 8.00 am–11.00 pm; Thursday, 8.00 am–11.00 pm; Friday, 8.00 am–11.00 pm; Saturday, 8.00 am–11.00 pm; Sunday, 8.00 am–11.00 pm}"
67,SOBO' KITCHEN & SPACE,"Jl. Raya Janti, Wonocatur, Banguntapan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta",81210008231,4.9,105,Coffee shop,"{Monday, 7.00 am–10.00 pm; Tuesday, Closed; Wednesday, 7.00 am–10.00 pm; Thursday, 7.00 am–10.00 pm; Friday, 7.00 am–10.00 pm; Saturday, 7.00 am–10.00 pm; Sunday, 7.00 am–10.00 pm}"
68,Anggrek Astuti Jogja & Kedai Astuti,"Kaliurang St No.km.17, Area Sawah, Pakembinangun, Pakem, Sleman Regency, Special Region of Yogyakarta 55582",87739062369,4.8,165,Coffee shop,"{Monday, 10.00 am–9.00 pm; Tuesday, 10.00 am–9.00 pm; Wednesday, 10.00 am–9.00 pm; Thursday, 10.00 am–9.00 pm; Friday, 10.00 am–9.00 pm; Saturday, 10.00 am–9.00 pm; Sunday, 10.00 am–9.00 pm}"
69,Sorea Urban Forest,"Jl. Gambir Karangasem Baru Bulaksumur, Karang Gayam, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",87718652164,4.6,309,Coffee shop,"{Monday, 7.00 am–12.00 am; Tuesday, 7.00 am–12.00 am; Wednesday, 7.00 am–12.00 am; Thursday, 7.00 am–12.00 am; Friday, 7.00 am–12.00 am; Saturday, 7.00 am–12.00 am; Sunday, 7.00 am–12.00 am}"
70,Sunset Coffee & Eatery,"Jl. Nologaten, Nologaten, Condongcatur, Kec. Depok, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55281",8112791000,4.6,"4,149",Coffee shop,"{Monday, 9.00 am–12.30 am; Tuesday, 9.00 am–12.30 am; Wednesday, 9.00 am–12.30 am; Thursday, 9.00 am–12.30 am; Friday, 9.00 am–12.30 am; Saturday, 9.00 am–12.30 am; Sunday, 9.00 am–12.30 am}"
71,Sunset dell Coffee,"Jl. Dlingo-Patuk, Brambang, Semoyo, Kec. Patuk, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta 55862",81779231355,4,607,Coffee shop,"{Monday, 4.00–10.30 pm; Tuesday, 4.00–10.30 pm; Wednesday, 4.00–10.30 pm; Thursday, 4.00–10.30 pm; Friday, 4.00–10.30 pm; Saturday, 4.00–11.00 pm; Sunday, 4.00–11.00 pm}"
242,Svarga Flora Coffee & Plants,"Jl. Affandi No.26A, Soropadan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55222",87861810720,4.4,"1,296",Coffee shop,"{Monday, 8.00 am–1.00 am; Tuesday, 8.00 am–1.00 am; Wednesday, 8.00 am–1.00 am; Thursday, 8.00 am–1.00 am; Friday, 8.00 am–1.00 am; Saturday, 8.00 am–1.00 am; Sunday, 8.00 am–1.00 am}"
245,Temata Coffee & Patisserie,"Jl. Magelang No.Km. 11, Dukuh, Tridadi, Sleman, Sleman Regency, Special Region of Yogyakarta 55511, Indonesia",0851-7500-2742,4.9,120,Coffee shop,"{Monday, 9.00 am–8.00 pm; Tuesday, 9.00 am–8.00 pm; Wednesday, 9.00 am–8.00 pm; Thursday, 9.00 am–8.00 pm; Friday, 9.00 am–8.00 pm; Saturday, 9.00 am–8.00 pm; Sunday, 9.00 am–8.00 pm}"
74,Takom 1922 Cafe & Resto,"69PQ+GRV, Jl. Cempaka, Manggung, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",8158881922,4.7,898,Coffee shop,"{Monday, 9.00 am–12.00 am; Tuesday, 9.00 am–12.00 am; Wednesday, 9.00 am–12.00 am; Thursday, 9.00 am–12.00 am; Friday, 9.00 am–12.00 am; Saturday, 9.00 am–12.00 am; Sunday, 9.00 am–12.00 am}"
76,Tamanan Cafe,"Jl. Maundri No.13, Sokowaten, Tamanan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55191",82325658020,4.4,174,Coffee shop,"{Monday, 12.00 pm–12.00 am; Tuesday, 12.00 pm–12.00 am; Wednesday, 12.00 pm–12.00 am; Thursday, 12.00 pm–12.00 am; Friday, 12.00 pm–12.00 am; Saturday, 12.00 pm–12.00 am; Sunday, 12.00 pm–12.00 am}"
79,TEMOTO - COFFEE & STEAKHOUSE,"Jl. Dusun Mrisen, Pencar Sari, Sardonoharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",81214236336,4.7,57,Coffee shop,"{Monday, 11.00 am–9.00 pm; Tuesday, 11.00 am–9.00 pm; Wednesday, 11.00 am–9.00 pm; Thursday, 11.00 am–9.00 pm; Friday, 11.00 am–9.00 pm; Saturday, 8.00 am–9.00 pm; Sunday, 8.00 am–9.00 pm}"
80,Temu Kamu Coffee & Eatery Yogyakarta,"Jl. Laksda Adisucipto No.Laksda 53, Demangan, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55281",85952893070,4.6,578,Coffee shop,"{Monday, 9.00 am–10.00 pm; Tuesday, 9.00 am–10.00 pm; Wednesday, 9.00 am–10.00 pm; Thursday, 9.00 am–10.00 pm; Friday, 9.00 am–11.30 pm; Saturday, 9.00 am–11.30 pm; Sunday, 9.00 am–11.30 pm}"
81,Teras Jepun Coffee,"Pandeyan, Umbulharjo, Yogyakarta City, Special Region of Yogyakarta 55161",85136648874,4.9,84,Coffee shop,"{Monday, 3.00–11.00 pm; Tuesday, 3.00–11.00 pm; Wednesday, 3.00–11.00 pm; Thursday, 3.00–11.00 pm; Friday, 3.00–11.00 pm; Saturday, 3.00–11.00 pm; Sunday, 3.00–11.00 pm}"
249,The Bean Garden Coffee and Eatery,"Jl. Ring Road Utara, Pugeran, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",82116161699,4.5,990,Coffee shop,"{Monday, 7.30 am–10.00 pm; Tuesday, 7.30 am–10.00 pm; Wednesday, 7.30 am–10.00 pm; Thursday, 7.30 am–10.00 pm; Friday, 7.30 am–10.00 pm; Saturday, 7.30 am–10.00 pm; Sunday, 7.30 am–10.00 pm}"
147,TIGA by Kanca,"Area Sawah, Gg. Akasia, Kwarasan, Yogyakarta, Daerah Istimewa Yogyakarta 55592",,4.6,115,Coffee shop,"{Monday, Closed; Tuesday, 9.00 am–9.00 pm; Wednesday, 9.00 am–9.00 pm; Thursday, 9.00 am–9.00 pm; Friday, 9.00 am–9.00 pm; Saturday, 9.00 am–9.00 pm; Sunday, 9.00 am–9.00 pm}"
86,TJAKRA COFFEE & EATERY,"Pencar Sari, Sardonoharjo, Ngaglik, Sleman Regency, Special Region of Yogyakarta 55581",82197717961,4.8,16,Coffee shop,"{Monday, 12.00–9.00 pm; Tuesday, Closed; Wednesday, 12.00–9.00 pm; Thursday, 12.00–9.00 pm; Friday, 12.00–9.00 pm; Saturday, 12.00–9.30 pm; Sunday, 12.00–9.00 pm}"
274,TRILOGI COFFEE,"Jl. Palagan Tentara Pelajar No.8.6 No.KM, Tegal Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",(0274)2833724,4.6,"1,611",Coffee shop,"{Monday, 8.00 am–11.00 pm; Tuesday, 8.00 am–11.00 pm; Wednesday, 8.00 am–11.00 pm; Thursday, 8.00 am–11.00 pm; Friday, 8.00 am–11.00 pm; Saturday, 8.00 am–11.00 pm; Sunday, 8.00 am–11.00 pm}"
88,Warung Murakabi Minggir,"Kedung Prahu, Sendangrejo, Minggir, Sleman Regency, Special Region of Yogyakarta 55562",0895-,,,Coffee shop,
288,WONK Cafe,"Jl. Raya Wedomartani No.29A, RT.20/RW.67, Malangrejo, Sono Raya, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584",81326696533,4.9,184,Coffee shop,"{Monday, 8.00 am–1.00 am; Tuesday, 8.00 am–1.00 am; Wednesday, 8.00 am–1.00 am; Thursday, 8.00 am–1.00 am; Friday, 8.00 am–2.00 am; Saturday, 8.00 am–2.00 am; Sunday, 8.00 am–1.00 am}"
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
101,,,,,,,
102,,,,,,,
103,,,,,,,
104,,,,,,,
105,,,,,,,
106,,,,,,,
107,,,,,,,
108,,,,,,,
109,,,,,,,
110,,,,,,,
111,,,,,,,
112,,,,,,,
113,,,,,,,
114,,,,,,,
115,,,,,,,
116,,,,,,,
117,,,,,,,
118,,,,,,,
119,,,,,,,
120,,,,,,,
121,,,,,,,
122,,,,,,,
123,,,,,,,
124,,,,,,,
125,,,,,,,
126,,,,,,,
127,,,,,,,
128,,,,,,,
129,,,,,,,
130,,,,,,,
131,,,,,,,
132,,,,,,,
133,,,,,,,
134,,,,,,,
135,,,,,,,
136,,,,,,,
137,,,,,,,
138,,,,,,,
139,,,,,,,
140,,,,,,,
141,,,,,,,
142,,,,,,,
143,,,,,,,
144,,,,,,,
145,,,,,,,
146,,,,,,,
147,,,,,,,
148,,,,,,,
149,,,,,,,
150,,,,,,,
151,,,,,,,
152,,,,,,,
153,,,,,,,
154,,,,,,,
155,,,,,,,
